nct_id,overall_status,plan_to_share_ipd,plan_to_share_ipd_description,study_type,phase,study_first_submitted_date,official_title,enrollment,enrollment_type,primary_completion_month_year,primary_completion_date_type
NCT01000818,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 1,2009-10-22,"An Open-Label, 3-Period, Fixed-Sequence Study to Evaluate the Effect of Famotidine and Omeprazole on MK0518 Pharmacokinetics in HIV-Infected Patients on a Stable MK0518-Containing Regimen",18,Actual,March 2009,Actual
NCT00959699,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 2,2009-07-29,"A Phase 2b, Safety and Efficacy Study of Boceprevir in Patients Coinfected With HIV and Hepatitis C (Protocol No. P05411)",99,Actual,May 2012,Actual
NCT00829010,Completed,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,Interventional,Phase 3,2009-01-22,"Primary and Booster Vaccination Course in Human Immunodeficiency Virus (HIV) Infected Infants, HIV Exposed Uninfected Infants and Unexposed Uninfected Infants Receiving the Pneumococcal Vaccine GSK 1024850A.",489,Actual,"June 13, 2011",Actual
NCT00764946,Completed,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 3,2008-10-01,"A Phase III Open-Label Single Arm Study to Evaluate the Safety, Tolerability, and Efficacy of MK0518/Raltegravir in a Diverse Cohort of HIV-Infected Patients",209,Actual,February 2011,Actual
NCT00687544,Terminated,Yes,"http://www.merck.com/clinical-trials/pdf/Merck%20Procedure%20on%20Clinical%20Trial%20Data%20Access%20Final_Updated%20July_9_2014.pdf
http://engagezone.msd.com/ds_documentation.php",Interventional,Phase 4,2008-05-27,Efficacy and Safety of PegIntron Plus Ribavirin for Treatment of Chronic Hepatitis C Infection in HIV-Infected Persons Not Previously Treated With Interferon,11,Actual,September 2008,Actual
NCT00623597,Completed,Yes,NA,Interventional,Phase 2,2008-02-18,A Phase I/II Study of InviraseÂ® Boosted With Ritonavir in HIV Infected Infants and Children 4 Months to Less Than 6 Years Old,18,Actual,March 2010,Actual
NCT00586339,Completed,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,Interventional,Phase 2,2007-12-21,Evaluation of the Safety and Immunogenicity of GlaxoSmithKline Biologicals' HPV Vaccine 580299 (Cervarix TM) in Adult Human Immunodeficiency Virus (HIV) Infected Female Subjects,150,Actual,"July 18, 2011",Actual
NCT00127231,Completed,Undecided,NA,Interventional,N/A,2005-08-03,Brief Alcohol Intervention in HIV+ Women,148,Actual,November 2010,Actual
NCT03235349,Recruiting,Undecided,NA,Interventional,Phase 3,2017-07-28,An Open-Label Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Treatment-NaÃ¯ve and Treatment-Experienced Asian Adults With Chronic Hepatitis C Virus Genotype (GT) 1 to GT6 Infection With Compensated Cirrhosis and With or Without Human Immunodeficiency Virus Co-Infection,160,Anticipated,"December 5, 2018",Anticipated
NCT03222583,"Active, not recruiting",Undecided,NA,Interventional,Phase 3,2017-07-17,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Treatment-NaÃ¯ve and Treatment-Experienced, Non-Cirrhotic Asian Adults With Chronic Hepatitis C Virus Genotype (GT) 1 to GT6 Infection With or Without Human Immunodeficiency Virus Co-Infection",535,Actual,"October 12, 2018",Anticipated
NCT03547739,Not yet recruiting,Undecided,NA,Interventional,N/A,2018-05-09,Testing Strategies for Couple Engagement in PMTCT and Family Health in Kenya,2520,Anticipated,"December 31, 2022",Anticipated
NCT03550352,Not yet recruiting,Undecided,NA,Interventional,Phase 2,2018-05-23,"Cannabinoids in People Living With HIV on Effective Antiretroviral Therapy: A Pilot Study to Assess Safety, Tolerability and Effect on Immune Activation",26,Anticipated,September 2019,Anticipated
NCT03526848,Not yet recruiting,Undecided,NA,Interventional,Phase 1,2018-05-03,"An Open Label, Randomized Study of the Safety and Antiretroviral Activity of 3BNC117 and 10-1074 in HIV-infected Individuals on Combination Antiretroviral Therapy and During Analytical Treatment Interruption.",40,Anticipated,May 2020,Anticipated
NCT03519373,Recruiting,Undecided,NA,Observational,NA,2018-04-26,Impact of HIV Infection and Pregnancy on Humoral Responses to Pertussis Immunization,120,Anticipated,"June 1, 2019",Anticipated
NCT03512418,Not yet recruiting,Undecided,NA,Interventional,Phase 3,2018-03-21,Development of Ingestible Biosensors to Enhance PrEP Adherence in Substance Users (PrEPSteps),60,Anticipated,"May 1, 2022",Anticipated
NCT03505866,Completed,Undecided,NA,Interventional,N/A,2018-04-01,Investigating the Impact of Community Home-based Care Intervention on Mental Health Outcomes and Anti-retroviral Therapy Adherence in People Living With HIV,720,Actual,"August 31, 2015",Actual
NCT03502005,Recruiting,Undecided,CROI 2020,Interventional,Phase 4,2018-03-14,"""Efficacy, Safety, and Tolerability of Switching EFV/TDF/FTC to BIC/FTC/TAF in Virologically Suppressed Adults With HIV-1 Infection.""",100,Anticipated,July 2019,Anticipated
NCT03468582,Recruiting,Undecided,Data will not be shared with third parties having lower protection standards then Switzerland.,Interventional,Early Phase 1,2018-02-12,Pilot Study Using 123I Radiolabeled 3BNC117 SPECT/CT to Image HIV Reservoir in Chronically Infected HIV Patients,5,Anticipated,"February 7, 2019",Anticipated
NCT03449706,Recruiting,Undecided,NA,Observational,NA,2018-02-22,Accurate Staging of Immuno-virological Dynamics During Acute HIV Infection,50,Anticipated,"January 1, 2023",Anticipated
NCT03414411,Enrolling by invitation,Undecided,NA,Observational,NA,2017-10-30,Addressing Alcohol/HIV Consequences in Substance Dependence - Boston ARCH Cohort: The 4F Study,400,Anticipated,February 2021,Anticipated
NCT03413683,Not yet recruiting,Undecided,NA,Observational,NA,2018-01-23,Frailty in Older HIV-infected Individuals in Hong Kong: Risk Factors and Association With Quality of Life and Mortality,100,Anticipated,January 2028,Anticipated
NCT03394391,Not yet recruiting,Undecided,NA,Interventional,N/A,2017-12-28,"A Single-blind, Randomized, Parallel Design Study to Assess the Effectiveness of SMS Reminders in Improving ART Adherence Among Adolescents Living With HIV in Nigeria (STARTA Trial-Adolescents)",200,Anticipated,"February 28, 2019",Anticipated
NCT03392805,Recruiting,Undecided,NA,Interventional,N/A,2018-01-02,Infectious Diseases and Movement Program: Study of the Effects of Physical Activity on HIV Infection,50,Anticipated,"December 31, 2018",Anticipated
NCT03387397,Recruiting,Undecided,NA,Interventional,N/A,2017-12-11,Assessing Differential Adherence to Medications and Quality of Life Among People Living With HIV and Comorbidities,170,Anticipated,December 2018,Anticipated
NCT03336346,Recruiting,Undecided,NA,Observational,NA,2017-11-06,The Effect of Dolutegravir-based ART on Plasma Etonogestrel Levels in HIV-infected Women Using Contraceptive Implants in Botswana,270,Anticipated,December 2018,Anticipated
NCT03335176,Completed,Undecided,NA,Interventional,N/A,2017-10-31,Feasibility and Benefit of a Telerehabilitation Program in Human Immunodeficiency Virus-infected Patients,25,Actual,"April 1, 2015",Actual
NCT03300908,Completed,Undecided,NA,Interventional,N/A,2017-09-29,Contextualizing & Responding to HIV Risk Behaviors Among Black Drug Offenders,32,Actual,"December 21, 2016",Actual
NCT03271307,Recruiting,Undecided,NA,Interventional,N/A,2017-08-31,Use of HIV Self-Test Kits to Increase Identification of HIV-Infected Individuals and Their Partners,22500,Anticipated,September 2018,Anticipated
NCT03267407,"Active, not recruiting",Undecided,Please contact principal investigators for any inquiries.,Observational,NA,2017-08-27,Vietnam Cryptococcal Retention in Care Study (CRICS) - Version 2.1,1184,Actual,"March 31, 2018",Anticipated
NCT03259698,Not yet recruiting,Undecided,NA,Interventional,Phase 2,2017-08-21,Optimizing the Delivery of HIV Post-exposure Prophylaxis: A Randomized Controlled Trial of Text Messaging Support and Physician to Nurse Task-shifting,358,Anticipated,December 2019,Anticipated
NCT03256435,Recruiting,Undecided,NA,Interventional,N/A,2017-04-14,"PrEP Uptake, Retention, and Adherence for African American MSM in Mississippi",80,Anticipated,"December 31, 2018",Anticipated
NCT03254277,Recruiting,Undecided,NA,Interventional,Phase 1,2017-08-11,"A Phase 1, Dose Escalation, First-in-human Study of the Safety and Pharmacokinetics of 3BNC117-LS Administered Intravenously in HIV-infected and HIV-uninfected Individuals",30,Anticipated,February 2019,Anticipated
NCT03231358,Not yet recruiting,Undecided,NA,Interventional,Phase 3,2017-07-21,Our Family Our Future: A Resilience-oriented Family Intervention to Prevent Adolescent HIV/STI Infection and Depression in South Africa,880,Anticipated,"August 31, 2022",Anticipated
NCT03216798,Recruiting,Undecided,NA,Observational,NA,2017-06-23,Client and Provider Preferences for HIV Care: Implications for Implementing Differentiated Service Delivery in Thailand,370,Anticipated,"July 15, 2018",Anticipated
NCT03170414,Recruiting,Undecided,NA,Observational,NA,2017-05-23,A Prospective Observational Study of Solid Organ Transplantation Utilizing HIV-Positive Donors in HIV-Positive Recipients,10,Anticipated,December 2022,Anticipated
NCT03144336,"Active, not recruiting",Undecided,NA,Interventional,N/A,2017-04-27,Using Mobile Technology and Incentives With Men Who Have Sex With Men and Transgender Women for HIV Prevention (MOTIVES),217,Actual,December 2018,Anticipated
NCT03122288,Recruiting,Undecided,NA,Interventional,N/A,2017-04-11,Individualized-Targeted Cognitive Training in Older Adults With HAND,146,Anticipated,"November 30, 2018",Anticipated
NCT03075332,Completed,Undecided,It is not done sharing since the individuals involved in the people are vulnerable and the secrecy is rescued,Interventional,N/A,2017-02-09,Detraining in the Components of Physical Aptitude in People Living With HIV/ AIDS,2,Actual,"June 21, 2016",Actual
NCT03058484,Completed,Undecided,NA,Interventional,N/A,2017-02-08,Short-term Effectiveness of a Community Health Worker Intervention for HIV-infected Pregnant Women in Tanzania to Improve Treatment Adherence and Retention in Care: A Cluster-Randomized Trial,1830,Actual,"March 30, 2016",Actual
NCT03036709,Recruiting,Undecided,NA,Interventional,Phase 2,2016-05-03,Safety and Therapeutic Efficacy of the Broadly Neutralizing HIV-1 Specific Monoclonal Antibody VRC01 During Analytic Treatment Interruption in Patients Who Initiated Antiretroviral Therapy During Early Acute HIV Infection,24,Anticipated,December 2017,Anticipated
