COMPONENT,SYSTEM,SCALE,n2,codes,methods
Acarus siro Ab.IgE.RAST class,Ser,Ord,2,"16035-8,25497-9",NA|NA
Accommodation width.absolute,Eye.left,Qn,3,"28749-0,28755-7,28761-5",Hand optometer|Minus glass|NA
Accommodation width.absolute,Eye.right,Qn,3,"28748-2,28754-0,28760-7",Hand optometer|Minus glass|NA
Accommodation width.measured 1,Eye,Qn,3,"28751-6,28757-3,28763-1",Hand optometer|Minus glass|NA
Accommodation width.measured 2,Eye,Qn,3,"28752-4,28758-1,29131-0",Hand optometer|Minus glass|NA
Accommodation width.measured 3,Eye,Qn,3,"28753-2,28759-9,29132-8",Hand optometer|Minus glass|NA
Accommodation width.relative,Eye,Qn,3,"28750-8,28756-5,28762-3",Hand optometer|Minus glass|NA
Acebutolol,Urine,Qn,2,"3294-6,3295-3",NA|NA
Acebutolol,XXX,Qn,2,"18188-3,55521-9",NA|NA
Acetaminophen,Gast fld,Qn,2,"35700-4,47095-5",NA|NA
Acetaminophen,Ser/Plas,Qn,4,"14581-3,3298-7,35595-8,70198-7",NA|NA|Screen|Screen
Acetaminophen,Urine,Ord,2,"3299-5,59384-8",NA|Screen
Acetaminophen,Urine,Qn,3,"13622-6,16282-6,39456-9",NA|NA|NA
Acetaminophen,XXX,Qn,2,"12442-0,22736-3",NA|NA
Acetaminophen/Creatinine,Urine,Qn,2,"72819-6,75071-1",NA|NA
Acetazolamide,Ser/Plas,Qn,3,"16308-9,3300-1,55522-7",NA|NA|NA
Acetazolamide,Urine,Qn,3,"16309-7,3302-7,3303-5",NA|NA|NA
Acetoacetate,CSF,Qn,2,"1703-8,50154-4",NA|NA
Acetoacetate,Ser/Plas,Qn,2,"1705-3,35867-1",NA|NA
Acetoacetate,Urine,Qn,2,"1702-0,33918-4",NA|NA
Acetoacetate/Creatinine,Urine,Qn,2,"13701-8,29524-6",NA|NA
Acetone,Bld,Qn,2,"76524-8,9425-0",NA|NA
Acetone,Body fld,Qn,3,"15146-4,16311-3,50800-2",NA|NA|NA
Acetone,Ser/Plas,Ord,2,"20469-3,5567-3",Screen|NA
Acetone,Ser/Plas,Qn,2,"14582-1,5568-1",NA|NA
Acetone,Urine,Ord,2,"15147-2,5569-9",NA|NA
Acetone,Urine,Qn,4,"18189-1,32291-7,35665-9,5570-7",NA|NA|NA|NA
Acetylcarnitine (C2),Ser/Plas,Qn,2,"18436-6,30191-1",NA|NA
Acetylcholine receptor Ab,Ser,Qn,3,"20427-1,68937-2,8058-0",NA|IA|NA
Acetylcholine receptor binding Ab,Ser,Qn,3,"11034-6,11560-0,5037-7",NA|NA|IF
Acetylcholine receptor blocking Ab,Ser,Qn,3,"11561-8,33278-3,5038-5",NA|NA|IF
Acetylcholine receptor modulation Ab,Ser,Qn,3,"11562-6,33279-1,5039-3",NA|NA|IF
Acetylcholinesterase,RBC,Qn,2,"1709-5,49230-6",NA|NA
Acid alpha glucosidase,WBC,Qn,2,"1816-8,24051-5",NA|NA
Acid phosphatase,Bld,Qn,2,"16315-4,1711-1",Tartrate inhibited|NA
Acid phosphatase.prostatic,Ser,Qn,2,"1714-5,20420-6",NA|NA
Acidity.titratable,Gast fld,Qn,2,"14583-9,26813-6",NA|NA
Acidity.titratable,Urine,Qn,3,"1716-0,56489-8,74092-8",NA|NA|NA
Acinetobacter sp (rpsA) gene,Bld.pos growth,Ord,2,"75674-2,88244-9",Probe.mag capture|Probe
Aconitate,Urine,Ord,2,"26832-6,43622-0",NA|NA
Aconitate/Creatinine,Urine,Qn,2,"13702-6,29525-3",NA|NA
Acrylylcarnitine (C3:1),Ser/Plas,Qn,2,"18437-4,43235-1",NA|NA
Actin.filamentous Ab,Ser/Plas,Ord,2,"54020-3,63484-0",NA|IF
Actin.filamentous Ab,Ser/Plas,Qn,2,"54021-1,57410-3",NA|IA
Actin.smooth muscle Ab,Ser,Ord,4,"63210-9,63211-7,81713-0,89520-1",IA|IF|IB|Line blot
Actinidia chinensis Ab.IgG,Ser,Qn,2,"63093-9,7440-1",NA|NA
Actinobacillus pleuropneumoniae Ab,Ser,Ord,2,"20673-0,22764-5",NA|Comp fix
Actinobacillus pleuropneumoniae Ab,Ser,Qn,3,"23648-9,31216-5,86715-0",NA|NA|Comp fix
Actinobacillus pleuropneumoniae serotype 1 Ab,Ser,Ord,2,"23644-8,31212-4",IA|NA
Actinobacillus pleuropneumoniae serotype 3 Ab,Ser,Ord,2,"23645-5,31213-2",IA|NA
Actinobacillus pleuropneumoniae serotype 5 Ab,Ser,Ord,2,"23646-3,31214-0",IA|NA
Actinobacillus pleuropneumoniae serotype 7 Ab,Ser,Ord,2,"23647-1,31215-7",IA|NA
Actinomyces sp Ab,Ser,Qn,3,"22079-8,5040-1,7804-8",NA|IF|NA
Activated clotting time,Bld,Qn,3,"3184-9,80658-8,80659-6",Coag|Coag.diatomaceous earth induced|Coag.kaolin induced
Activated clotting time,PPP,Qn,2,"48344-6,68969-5",Coag.kaolin induced|Coag.kaolin induced
Activities of daily living score,^Patient,Qn,2,"72095-3,72100-1",HOOS|KOOS
Activities of daily living score change,^Patient,Qn,2,"79433-9,79438-8",HOOS|KOOS
Activity,^Patient,Ord,3,"28414-1,73786-6,75246-9",Observed.QAM|NSRAS|Observed.Norton scale
Activity metabolic rate/Measured resting metabolic rate,^Patient,Qn,3,"82265-0,82266-8,82267-6",Measured|Estimated|Reported
Activity metabolic rate/Population resting metabolic rate,^Patient,Qn,3,"82269-2,82270-0,82272-6",Estimated|Measured|Reported
Activity metabolic rate/Predicted resting metabolic rate,^Patient,Qn,3,"82274-2,82275-9,82276-7",Estimated|Reported|Measured
Activity metabolic rate/Standard resting metabolic rate,^Patient,Qn,3,"82261-9,82262-7,82263-5",Measured|Estimated|Reported
Acyl CoA dehydrogenases,Fibroblasts,Qn,2,"78358-9,78360-5","[9,10-3H] palmitate substrate|[9,10-3H] myristate substrate"
Acylcarnitine,Ser/Plas,Qn,2,"14282-8,1717-8",NA|NA
Acylcarnitine,Urine,Qn,4,"14283-6,34227-9,34228-7,9403-7",NA|NA|NA|NA
Acylcarnitine/Carnitine.free (C0),Urine,Qn,2,"43186-6,43576-8",NA|NA
Acylcarnitine/Creatinine,Urine,Qn,2,"17868-1,34229-5",NA|NA
Acylglycines panel,Urine,-,2,"50334-2,74914-3",NA|NA
Adalimumab,Ser/Plas,Qn,2,"74117-3,86894-3",NA|IA
Adalimumab Ab,Ser/Plas,Qn,3,"74116-5,86895-0,87742-3",NA|IA|NA
Additional pathological findings,Specimen,Nom,2,"33744-4,81317-0",CAP cancer protocols|NA
Adefovir,Isolate,OrdQn,2,"30274-5,30304-0",Phenotyping|NA
Adenine phosphoribosyltransferase,RBC,Qn,2,"1720-2,79450-3",NA|NA
Adenosine deaminase,RBC,Qn,2,"47549-1,79404-0",NA|NA
Adenosine deaminase,WBC,Qn,2,"47550-9,79451-1",NA|NA
Adenosine deaminase binding protein,Urine,Qn,2,"1723-6,47996-4",NA|NA
Adenosine monophosphate.cyclic,Ser/Plas,Qn,2,"1726-9,25498-7",NA|NA
Adenosine monophosphate.cyclic,Urine,Qn,5,"14584-7,1727-7,22712-4,34230-3,6868-4",NA|NA|NA|NA|NA
Adenosine monophosphate.cyclic/Creatinine,Urine,Qn,2,"18361-6,25972-1",NA|NA
Adenosine monophosphate.cyclic^6th specimen post XXX challenge,Urine,Qn,2,"47262-1,47267-0",NA|NA
Adenovirus 40+41 Ag,Stool,Ord,2,"31709-9,6306-5",NA|IA
Adenovirus 40+41 DNA,Stool,Ord,2,"82209-8,92690-7",Non-probe.amp.tar|Probe.amp.tar
Adenovirus Ab,Body fld,Qn,4,"29314-2,29416-5,31217-3,44290-5",Comp fix|NA|NA|NA
Adenovirus Ab,CSF,Qn,3,"13192-0,23950-9,34576-9",NA|Comp fix|NA
Adenovirus Ab,Ser,Ord,2,"43616-2,43618-8",NA|Comp fix
Adenovirus Ab,Ser,Qn,5,"13913-9,22080-6,44289-7,5041-9,7805-5",IF|NA|Comp fix|Comp fix|NA
Adenovirus Ab.IgG,Ser,Ord,2,"40977-1,41162-9",IA|NA
Adenovirus Ab.IgG,Ser,Qn,3,"13914-7,21053-4,51822-5",NA|NA|IA
Adenovirus Ab.IgM,Ser,Ord,2,"21054-2,86513-9",NA|IA
Adenovirus Ab.IgM,Ser,Qn,3,"13915-4,5042-7,51823-3",NA|NA|IA
Adenovirus Ab^1st specimen,Ser,Qn,2,"24175-2,24249-5",Comp fix|NA
Adenovirus Ab^2nd specimen,Ser,Qn,2,"24176-0,24250-3",Comp fix|NA
Adenovirus Ag,Cnjt,Ord,3,"31710-7,5823-0,5824-8",NA|IA|IF
Adenovirus Ag,Nose,Ord,2,"43612-1,43614-7",IF|NA
Adenovirus Ag,Nph,Ord,3,"35705-3,43610-5,88602-8",NA|IF|IA
Adenovirus Ag,Respiratory.lower,Ord,3,"88603-6,88897-4,91841-7",IA|IF|IA.rapid
Adenovirus Ag,Respiratory.upper,Ord,2,"91821-9,91822-7",IA.rapid|IA
Adenovirus Ag,Stool,Ord,4,"31711-5,5825-5,5826-3,78529-5",NA|IA|IF|IA.rapid
Adenovirus Ag,Thrt,Ord,3,"31712-3,5827-1,5828-9",NA|IA|IF
Adenovirus Ag,Tiss,Ord,2,"5829-7,5830-5",IA|IF
Adenovirus Ag,Urine,Ord,3,"31713-1,5831-3,5832-1",NA|IA|IF
Adenovirus Ag,XXX,Ord,3,"31714-9,5833-9,5834-7",NA|IA|IF
Adenovirus DNA,Bld,Qn,2,"49341-1,66725-3",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Body fld,Qn,2,"66720-4,66721-2",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,CSF,Qn,2,"49338-7,66730-3",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Genital,Qn,2,"66726-1,66727-9",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Nph,Ord,2,"76070-2,82160-3",Probe.amp.tar|Non-probe.amp.tar
Adenovirus DNA,Respiratory.lower,Ord,2,"90463-1,92987-7",Probe.amp.tar|Non-probe.amp.tar
Adenovirus DNA,Ser/Plas,Qn,2,"49334-6,66723-8",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Skin,Qn,2,"66728-7,66729-5",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Stool,Qn,2,"49339-5,66724-6",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Tiss,Qn,2,"49335-3,66722-0",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,Urine,Qn,2,"48609-2,66719-6",Probe.amp.tar|Probe.amp.tar
Adenovirus DNA,XXX,Nom,2,"40975-5,40976-3",RFLP|Probe.amp.tar
Adenovirus DNA,XXX,Qn,2,"49340-3,64038-3",Probe.amp.tar|Probe.amp.tar
Adenylate kinase,RBC,Qn,2,"11035-3,44051-1",NA|NA
Adipate,Urine,Ord,2,"26751-8,43609-7",NA|NA
Adipate/Creatinine,Urine,Qn,2,"13703-4,29859-6",NA|NA
Adipoylcarnitine (C6-DC),Ser/Plas,Qn,2,"18450-7,39002-1",NA|NA
Adjacent structure invaded by tumor,Breast cancer specimen,Nom,2,"85301-0,85322-6",Macroscopy|Microscopy.light
Administrative note,{Setting},Doc,23,"51851-4,75440-8,75485-3,83707-0,83804-5,83829-2,83856-5,83879-7,83897-9,84038-9,84065-2,84076-9,84101-5,84225-2,84240-1,84277-3,84305-2,84332-6,85255-8,87251-5,89442-8,89473-3,90341-9",{Role}|Mental health|Primary care|Physical medicine and rehab|Physician|Dentistry|Podiatry|Psychiatry|Psychology|Urology|Audiology|Dermatology|Gastroenterology|Neurology|Nurse|Nutrition and dietetics|Obstetrics and Gynecology|Physical therapy|Radiology|Addiction medicine|Obstetrics|Gynecology|Nuclear medicine
Admission evaluation note,{Setting},Doc,48,"34744-3,34873-0,67851-6,83550-4,83628-8,83656-9,83659-3,83665-0,83668-4,83670-0,83677-5,83688-2,83694-0,83699-9,83708-8,83778-1,83792-2,83805-2,83809-4,83824-3,83850-8,83857-3,83870-6,83880-5,83911-8,83954-8,83989-4,84039-7,84047-0,84068-6,84102-3,84109-8,84125-4,84192-4,84226-0,84235-1,84313-6,84368-0,84378-9,84382-1,84388-8,84405-0,85153-5,85233-5,85246-7,85250-9,85251-7,87252-3",Nurse|Surgery|{Role}|Nurse practitioner|Mental health.nurse|Thoracic and cardiac surgery.attending|Neurological surgery.attending|Plastic surgery.attending|Psychiatry.attending|Surgery.attending|Vascular surgery.attending|Neurology.attending|Otolaryngology.attending|Urology.attending|Physical medicine and rehab|Surgery.resident|Surgery.intern|Physician|Physician assistant|Attending|Plastic surgery|Podiatry|Primary care|Psychiatry|Pulmonary disease|Social worker|Spinal cord injury medicine|Urology|Vascular surgery|Thoracic and cardiac surgery|Gastroenterology|Geriatric medicine|Surgery of the hand|Mental health|Neurology|Neurological surgery|Vocational rehabilitation|Otolaryngology|Orthopaedic surgery|Oral and maxillofacial surgery|Occupational medicine|Ophthalmology|Pharmacology|Internal medicine.attending|Internal medicine.intern|Internal medicine|Internal medicine.resident|Addiction medicine
Admission evaluation note,Hospital,Doc,16,"34862-3,64053-2,64054-0,64058-1,64060-7,64062-3,64066-4,64070-6,64074-8,64078-9,67852-4,68471-2,68483-7,83718-7,84200-5,84253-4",General medicine.attending|General medicine|General medicine.medical student|Critical care medicine|Thoracic and cardiac surgery|Pulmonary disease|Surgery.medical student|Critical care medicine.medical student|Thoracic and cardiac surgery.medical student|Pulmonary disease.medical student|{Role}|Cardiovascular disease|Cardiovascular disease.medical student|Physical medicine and rehab|Mental health|Nurse
Admission evaluation note,Intensive care unit,Doc,9,"83516-5,83522-3,83671-8,83816-9,83826-8,84012-4,84075-1,85234-3,85239-2",Cardiovascular disease.attending|Cardiovascular disease|Surgery.attending|Attending|Fellow|Surgery|{Role}|Internal medicine.attending|Internal medicine
Admission evaluation note,Long term care facility,Doc,3,"84255-9,85159-2,85189-9",Nurse|Pharmacology|{Role}
Admission evaluation note,Observation unit,Doc,2,"84261-7,84387-0",Nurse|{Role}
Admission evaluation note,Patient's home,Doc,2,"84162-7,88692-9",{Role}|Primary care
Admission history and physical note,{Setting},Doc,33,"34763-3,51849-8,77401-8,77415-8,78246-6,78247-4,78248-2,78386-0,78387-8,78388-6,78389-4,78390-2,78391-0,78392-8,78497-5,78507-1,78508-9,78509-7,78510-5,78511-3,78538-6,78713-5,78718-4,78724-2,78727-5,78731-7,78733-3,80574-7,80733-9,80799-0,80809-7,89215-8,89443-6",General medicine|{Role}|Anesthesiology|Critical care medicine|Mental health|Surgery|Colon and rectal surgery|Neonatal perinatal medicine|Nephrology|Neurological surgery|Neurology|Nurse|Nurse practitioner|Oncology|Cardiovascular disease+Pulmonary disease|Pediatrics|Thoracic and cardiac surgery|Orthopaedic surgery|Vascular surgery|Oral and maxillofacial surgery|Palliative care|Ophthalmology|Obstetrics and Gynecology|Pediatric surgery|Plastic surgery|Transplant surgery|Urology|Cardiac surgery|Otolaryngology|Surgical oncology|Geriatric medicine|Gynecology|Obstetrics
Admission history and physical note,Hospital,Doc,2,"34094-3,47039-3",Cardiovascular disease|{Role}
Admitted from,Facility,Nom,4,"52722-6,54591-3,75529-8,85398-6",CARE|MDSv3|MSCDM|NA
Adrenal Ab,Ser,Ord,2,"14232-3,57745-2",NA|IF
Adrenal Ab,Ser,Qn,3,"32661-1,5043-5,8059-8",NA|IF|NA
Adrenal cortex Ab,Ser,Qn,4,"25499-5,5044-3,6923-7,8060-6",IF|RIA|IF|NA
Advance directive,^Patient,Nom,2,"67516-5,75320-2",NEMSIS|NA
Advance directives panel,^Patient,-,2,"75772-4,75911-8",ADVault|NA
Adverse event note,{Setting},Doc,2,"83320-2,85893-6",Allergy+Immunology|{Role}
Aesthetics,{Dental arch}.denture.complete,Ord,2,"32991-2,32993-8",Observed|Reported
Aesthetics,{Dental arch}.denture.partial,Ord,2,"32992-0,32994-6",Observed|Reported
Afipia felis Ab.IgG,Ser,Qn,3,"22081-4,31218-1,9582-8",NA|NA|IF
Afipia felis Ab.IgM,Ser,Qn,3,"22082-2,31219-9,9583-6",NA|NA|IF
African horse sickness virus Ab,Ser,Ord,5,"22766-0,22767-8,22768-6,22771-0,34885-4",IA|IB|Comp fix|NA|IF
African horse sickness virus Ab,Ser,Qn,3,"22769-4,22770-2,31220-7",Neut|NA|NA
African horse sickness virus Ag,XXX,Ord,2,"22773-6,31715-6",IA|NA
African swine fever virus Ab,Body fld,Ord,2,"22777-7,22778-5",IA|NA
African swine fever virus Ab,Ser,Ord,3,"22779-3,22780-1,23592-9",NA|IA|Immune stain
African swine fever virus Ag,Tiss,Ord,2,"22782-7,22783-5",Aggl|IF
African swine fever virus Ag,XXX,Ord,3,"22781-9,22784-3,31716-4",Aggl|IF|NA
Agaricus hortensis Ab.IgG,Ser,Qn,2,"35540-4,7515-0",NA|NA
Age,^Patient,Qn,4,"21611-9,21612-7,29553-5,30525-0",Estimated|Reported|Calculated|NA
Agreement,{Setting},Doc,4,"80570-5,84194-0,88637-4,88639-0",{Role}|Mental health|Nurse|Pain medicine
Agrostis stolonifera Ab.IgE,Ser,Qn,2,"6228-1,7352-8",NA|NA
Aichivirus C RNA,XXX,Qn,2,"90320-3,90321-1",Probe.amp.tar|Probe.amp.tar
Aino virus Ab,Ser,Qn,2,"34888-8,34893-8",Neut|NA
Akabane virus Ab,Ser,Qn,2,"34889-6,34894-6",Neut|NA
Alanine,Amnio fld,Qn,2,"12280-4,27013-2",NA|NA
Alanine,CSF,Qn,2,"1735-0,22657-1",NA|NA
Alanine,Ser/Plas,Qn,2,"1737-6,20636-7",NA|NA
Alanine,Urine,Ord,2,"16323-8,26795-5",NA|NA
Alanine,Urine,Qn,5,"1738-4,1739-2,25301-3,25843-4,27326-8",NA|NA|NA|NA|NA
Alanine aminotransferase,Ser/Plas,Qn,4,"1742-6,1743-4,1744-2,44785-4",NA|With P-5'-P|No addition of P-5'-P|No addition of P-5'-P
Alanine/Creatinine,Urine,Qn,6,"13704-2,22698-5,25844-2,30068-1,44291-3,56671-1",NA|NA|NA|NA|NA|NA
Albumin,Body fld,Qn,3,"1747-5,43212-0,53529-4",NA|Electrophoresis|Detection limit <= 1.0 mg/L
Albumin,CSF,Qn,3,"1746-7,2861-3,76480-3",NA|Electrophoresis|NA
Albumin,Semen,Qn,2,"10558-5,1750-9",NA|NA
Albumin,Ser/Plas,Qn,7,"1751-7,2862-1,54347-0,61151-7,61152-5,62234-0,62235-7",NA|Electrophoresis|NA|BCG|BCP|BCP|BCG
Albumin,Synv fld,Qn,2,"1752-5,2863-9",NA|Electrophoresis
Albumin,Urine,Ord,3,"1753-3,29946-1,50949-7",NA|Electrophoresis|Test strip
Albumin,Urine,Qn,25,"11218-5,14956-7,14957-5,1754-1,1755-8,21059-1,30003-8,43605-5,43606-3,43607-1,49002-9,49023-5,51190-7,53530-2,53531-0,53532-8,56553-1,57369-1,63474-1,6941-9,6942-7,77158-4,77940-5,89999-7,90000-1",Detection limit <= 20 mg/L test strip|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|NA|NA|NA|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|NA|Detection limit <= 20 mg/L|Electrophoresis|Detection limit <= 1.0 mg/L|Detection limit <= 1.0 mg/L|Detection limit <= 1.0 mg/L|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|Electrophoresis|Electrophoresis|Detection limit <= 3.0 mg/L|Electrophoresis|Detection limit <= 3.0 mg/L|Detection limit <= 3.0 mg/L
Albumin/Creatinine,Urine,Qn,14,"13705-9,14585-4,14958-3,14959-1,30000-4,30001-2,32294-1,44292-1,59159-4,76401-9,77253-3,77254-1,89998-9,9318-7",NA|NA|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L test strip|NA|Detection limit <= 20 mg/L|Detection limit <= 20 mg/L|NA|Detection limit <= 1.0 mg/L|Detection limit <= 1.0 mg/L|Detection limit <= 3.0 mg/L|NA
Albumin/Globulin,Body fld,Qn,2,"12174-9,88709-1",NA|Electrophoresis
Albumin/Globulin,CSF,Qn,2,"14433-7,68930-7",NA|Electrophoresis
Albumin/Globulin,Ser/Plas,Qn,2,"1759-0,44429-9",NA|Electrophoresis
Albumin/Globulin,Urine,Qn,4,"44293-9,44294-7,9405-2,9406-0",Electrophoresis|Electrophoresis|NA|NA
Albumin/Protein.total,Body fld,Qn,2,"17820-2,72600-0",Electrophoresis|Electrophoresis
Albumin/Protein.total,CSF,Qn,2,"13974-1,72599-4",Electrophoresis|Electrophoresis
Albumin/Protein.total,Ser/Plas,Qn,3,"13980-8,35706-1,72598-6",Electrophoresis|NA|Electrophoresis
Albumin/Protein.total,Urine,Qn,6,"13986-5,13992-3,17819-4,47558-2,72596-0,72597-8",Electrophoresis|Electrophoresis|Electrophoresis|Detection limit <= 20 mg/L|Electrophoresis|Electrophoresis
Alcelaphine herpesvirus 1 Ab,Ser,Ord,3,"20873-6,22083-0,22787-6",Neut|NA|IF
Alcelaphine herpesvirus 1 Ab,Ser,Qn,3,"22786-8,22788-4,31221-5",NA|Neut|NA
Alcelaphine herpesvirus 1 Ag,XXX,Ord,3,"22789-2,22790-0,31717-2",IF|Immune stain|NA
Alcohol use,^Patient,Nom,2,"11331-6,74205-6",NA|NTDS
Aldolase,RBC,Qn,3,"11036-1,2299-6,72655-4",NA|NA|NA
Aldolase,Ser,Qn,3,"2298-8,2300-2,6698-5",NA|NA|NA
Aldosterone,Ser/Plas,Qn,5,"14586-2,1763-2,35185-8,92896-0,92897-8",NA|NA|NA|RIA|IA
Aldosterone,Urine,Qn,8,"14587-0,15010-2,1764-0,1765-7,25845-9,31992-1,35186-6,41023-3",NA|NA|NA|NA|NA|NA|NA|NA
Aldosterone-18-glucuronide,Urine,Qn,4,"43640-2,73853-4,73854-2,73855-9",NA|NA|NA|NA
Aldosterone/Creatinine,Urine,Qn,3,"13482-5,34231-1,44295-4",NA|NA|NA
Aldosterone^15M post XXX challenge,Ser/Plas,Qn,2,"57588-6,57589-4",NA|NA
Aldosterone^1H post 25 mg captopril PO,Ser/Plas,Qn,2,"13853-7,57586-0",NA|NA
Aldosterone^1H post 250 ug corticotropin IM,Ser/Plas,Qn,2,"13852-9,50173-4",NA|NA
Aldosterone^1H post XXX challenge,Ser/Plas,Qn,2,"15345-2,57595-1",NA|NA
Aldosterone^2H post 25 mg captopril PO,Ser/Plas,Qn,2,"13854-5,57583-7",NA|NA
Aldosterone^2H post XXX challenge,Ser/Plas,Qn,2,"49326-2,57587-8",NA|NA
Aldosterone^30M post 250 ug corticotropin IM,Ser/Plas,Qn,2,"13855-2,50172-6",NA|NA
Aldosterone^30M post XXX challenge,Ser/Plas,Qn,2,"15346-0,57592-8",NA|NA
Aldosterone^30M pre XXX challenge,Ser/Plas,Qn,2,"57593-6,57594-4",NA|NA
Aldosterone^3H post 25 mg captopril PO,Ser/Plas,Qn,2,"57584-5,57585-2",NA|NA
Aldosterone^3H post XXX challenge,Ser/Plas,Qn,2,"57590-2,57591-0",NA|NA
Aldosterone^4H post XXX challenge,Ser/Plas,Qn,2,"58899-6,77609-6",NA|NA
Aldosterone^post 25 mg captopril PO,Ser/Plas,Qn,2,"50258-3,57579-5",NA|NA
Aldosterone^post XXX challenge,Ser/Plas,Qn,2,"50169-2,57580-3",NA|NA
Aldosterone^pre 25 mg captopril PO,Ser/Plas,Qn,2,"50259-1,57582-9",NA|NA
Aldosterone^pre 250 ug corticotropin IM,Ser/Plas,Qn,2,"50171-8,57596-9",NA|NA
Aldosterone^pre XXX challenge,Ser/Plas,Qn,2,"50170-0,57581-1",NA|NA
Aldosterone^supine,Ser/Plas,Qn,3,"15011-0,1767-3,35187-4",NA|NA|NA
Aldosterone^upright,Ser/Plas,Qn,3,"15012-8,1768-1,35188-2",NA|NA|NA
Alert,{Setting},Doc,5,"88357-9,88358-7,88359-5,88360-3,88361-1",Infectious disease|Mental health|Nurse|Pharmacology|Addiction medicine
Aleutian disease virus Ab,Ser,Ord,2,"22792-6,22793-4",CIE|NA
Alkaline phosphatase,Body fld,Qn,2,"15148-0,1775-6",NA|NA
Alkaline phosphatase,Ser/Plas,Qn,2,"6768-6,6769-4",NA|NA
Alkaline phosphatase,Urine,Qn,2,"16337-8,1776-4",NA|NA
Alkaline phosphatase isoenzymes,Ser/Plas,Qn,2,"16182-8,33063-9",Heat stability|Levamisole inhibition
Alkaline phosphatase.bone,Ser/Plas,Qn,3,"1777-2,17838-4,74996-0",NA|NA|NA
Alkaline phosphatase.liver,Ser/Plas,Qn,2,"1779-8,32135-6",NA|Heat stability
Alkaline phosphatase.placental,Ser/Plas,Qn,2,"16336-0,1780-6",NA|NA
Allantoine,Urine,Qn,2,"50306-0,54493-2",NA|Electrophoresis
Allium cepa Ab.IgG,Ser,Qn,2,"35541-2,7548-1",NA|NA
Allium sativum Ab.IgG,Ser,Qn,2,"60374-6,7330-4",NA|NA
Allo-pregnanediol,Urine,Qn,5,"55820-5,55821-3,73856-7,73857-5,73858-3",NA|NA|NA|NA|NA
Allo-pregnanediolone,Urine,Qn,3,"82866-5,82867-3,82868-1",NA|NA|NA
Allo-tetrahydrocorticosterone,Urine,Qn,5,"55824-7,55825-4,73859-1,73860-9,73861-7",NA|NA|NA|NA|NA
Allo-tetrahydrocortisol,Urine,Qn,5,"55826-2,6869-2,73862-5,73863-3,73864-1",NA|NA|NA|NA|NA
Allo-tetrahydrodeoxycortisol,Urine,Qn,2,"55822-1,55823-9",NA|NA
Allobarbital,Ser/Plas,Qn,2,"21062-5,25560-4",NA|NA
Alloisoleucine,Ser/Plas,Qn,3,"22670-4,23809-7,27381-3",NA|NA|NA
Alloisoleucine,Urine,Qn,2,"59212-1,59213-9",NA|NA
Alloisoleucine/Creatinine,Urine,Qn,2,"22699-3,73908-6",NA|NA
Allopurinol,Ser/Plas,Qn,2,"79662-3,9736-0",NA|NA
Almecillin,Isolate,OrdQn,3,"18857-3,3-4,4-2",NA|MIC|Agar diffusion
Alnus rugosa Ab.IgG,Ser,Qn,2,"41873-1,63203-4",NA|NA
Alpha-1-acid glycoprotein,Ser/Plas,Qn,2,"2685-6,33781-6",NA|NA
Alpha-1-Fetoprotein,Amnio fld,Qn,6,"15019-3,1832-5,19171-8,29595-6,83074-5,83075-2",NA|NA|NA|NA|IA|IA
Alpha-1-Fetoprotein,Body fld,Qn,2,"11207-8,44910-8",NA|NA
Alpha-1-Fetoprotein,CSF,Qn,2,"1833-3,59564-5",NA|NA
Alpha-1-Fetoprotein,Plr fld,Qn,3,"19172-6,19173-4,49762-8",NA|NA|NA
Alpha-1-Fetoprotein,Ser/Plas,Qn,6,"1834-1,19176-7,19177-5,20450-3,83072-9,83073-7",NA|NA|NA|NA|IA|IA
Alpha-1-fetoprotein.tumor marker,Ser/Plas,Qn,3,"53960-1,53961-9,53962-7",NA|NA|NA
Alpha-1-Microglobulin,Urine,Qn,3,"46723-3,48414-7,77163-4",NA|NA|NA
Alpha-2-Retinol binding protein,Urine,Qn,2,"18362-4,33782-4",NA|NA
Alpha-linoate+Linoleate intake,^Patient,Qn,2,"81031-7,81128-1",Estimated|Measured
Alpha-N-acetylglucosaminidase,Ser/Plas,Qn,2,"1837-4,24090-3",NA|NA
Alpha-Phenyl-2-Piperidine acetate,Urine,Qn,2,"33507-5,72790-9",NA|Confirm
Alpha 1 antitrypsin,Ser/Plas,Qn,5,"1825-9,20422-2,46129-3,6771-0,76481-1",NA|NA|Nephelometry|Nephelometry|NA
